Couple,Position,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,Position_pots,plante_genotype,poids_graine,Longueur_feuille_1,Largueur_feuille_1,taille_coleotile_feuille_1,taille_coleotile_feuille_2
EL4X_265.EL4X_265 wt b1,B1 - 1 - 1,Monoculture,Contrainte hydrique,1,1,1,gauche,265,40,137,4,NA,88
EL4X_265.EL4X_265 wt b1,B1 - 1 - 1,Monoculture,Contrainte hydrique,1,1,1,droite,265,48,124,4,NA,NA
EL4X_118.EL4X_348 wt b1,B1 - 1 - 2,Couple,Contrainte hydrique,1,1,2,gauche,118,26,NA,NA,157,NA
EL4X_118.EL4X_348 wt b1,B1 - 1 - 2,Couple,Contrainte hydrique,1,1,2,droite,348,46,128,4,NA,148
EL4X_412.EL4X_412 wt b1,B1 - 1 - 3,Couple,Contrainte hydrique,1,1,3,gauche,412,47,141,4,NA,73
EL4X_412.EL4X_412 wt b1,B1 - 1 - 3,Couple,Contrainte hydrique,1,1,3,droite,412,45,NA,NA,118,NA
EL4X_265.EL4X_118 wt b1,B1 - 1 - 4,Couple,Contrainte hydrique,1,1,4,gauche,265,47,99,3,NA,93
EL4X_265.EL4X_118 wt b1,B1 - 1 - 4,Couple,Contrainte hydrique,1,1,4,droite,118,42,130,4,NA,103
EL4X_329.EL4X_329 wt b1,B1 - 1 - 5,Monoculture,Contrainte hydrique,1,1,5,gauche,329,45,85,4,NA,106
EL4X_329.EL4X_329 wt b1,B1 - 1 - 5,Monoculture,Contrainte hydrique,1,1,5,droite,329,55,100,4,NA,99
EL4X_329.EL4X_395 wt b1,B1 - 1 - 6,Couple,Contrainte hydrique,1,1,6,gauche,329,51,98,4,NA,100
EL4X_329.EL4X_395 wt b1,B1 - 1 - 6,Couple,Contrainte hydrique,1,1,6,droite,395,50,NA,NA,125,NA
EL4X_265.EL4X_348 wt b1,B1 - 1 - 7,Couple,Contrainte hydrique,1,1,7,gauche,265,45,80,3,NA,98
EL4X_265.EL4X_348 wt b1,B1 - 1 - 7,Couple,Contrainte hydrique,1,1,7,droite,348,51,89,4,NA,90
EL4X_395.EL4X_395 wt b1,B1 - 1 - 8,Monoculture,Contrainte hydrique,1,1,8,gauche,395,56,NA,NA,132,NA
EL4X_395.EL4X_395 wt b1,B1 - 1 - 8,Monoculture,Contrainte hydrique,1,1,8,droite,395,50,NA,NA,144,NA
EL4X_165.EL4X_131 wt b1,B1 - 1 - 9,Couple,Contrainte hydrique,1,1,9,gauche,165,56,NA,NA,81,NA
EL4X_165.EL4X_131 wt b1,B1 - 1 - 9,Couple,Contrainte hydrique,1,1,9,droite,131,45,NA,NA,166,NA
EL4X_89.EL4X_348 wt b1,B1 - 2 - 1,Couple,Contrainte hydrique,1,2,1,gauche,89,48,142,5,NA,100
EL4X_89.EL4X_348 wt b1,B1 - 2 - 1,Couple,Contrainte hydrique,1,2,1,droite,348,54,137,4,NA,123
EL4X_482.EL4X_265 wt b1,B1 - 2 - 2,Couple,Contrainte hydrique,1,2,2,gauche,482,51,184,5,NA,112
EL4X_482.EL4X_265 wt b1,B1 - 2 - 2,Couple,Contrainte hydrique,1,2,2,droite,265,38,140,4,NA,90
EL4X_114.EL4X_376 wt b1,B1 - 2 - 3,Couple,Contrainte hydrique,1,2,3,gauche,114,44,219,5,NA,109
EL4X_114.EL4X_376 wt b1,B1 - 2 - 3,Couple,Contrainte hydrique,1,2,3,droite,376,51,NA,NA,99,NA
EL4X_89.EL4X_265 wt b1,B1 - 2 - 4,Couple,Contrainte hydrique,1,2,4,gauche,89,46,NA,NA,140,NA
EL4X_89.EL4X_265 wt b1,B1 - 2 - 4,Couple,Contrainte hydrique,1,2,4,droite,265,46,NA,NA,169,NA
EL4X_114.EL4X_114 wt b1,B1 - 2 - 5,Monoculture,Contrainte hydrique,1,2,5,gauche,114,47,NA,NA,139,NA
EL4X_114.EL4X_114 wt b1,B1 - 2 - 5,Monoculture,Contrainte hydrique,1,2,5,droite,114,47,NA,NA,147,NA
EL4X_89.EL4X_118 wt b1,B1 - 2 - 6,Couple,Contrainte hydrique,1,2,6,gauche,89,43,NA,NA,176,NA
EL4X_89.EL4X_118 wt b1,B1 - 2 - 6,Couple,Contrainte hydrique,1,2,6,droite,118,29,NA,NA,121,NA
EL4X_482.EL4X_348 wt b1,B1 - 2 - 7,Couple,Contrainte hydrique,1,2,7,gauche,482,53,62,4,NA,16
EL4X_482.EL4X_348 wt b1,B1 - 2 - 7,Couple,Contrainte hydrique,1,2,7,droite,348,49,130,4,NA,110
EL4X_412.EL4X_131 wt b1,B1 - 2 - 8,Couple,Contrainte hydrique,1,2,8,gauche,412,55,112,4,NA,79
EL4X_412.EL4X_131 wt b1,B1 - 2 - 8,Couple,Contrainte hydrique,1,2,8,droite,131,49,NA,NA,123,NA
EL4X_130.EL4X_74 wt b1,B1 - 2 - 9,Couple,Contrainte hydrique,1,2,9,gauche,130,66,180,5,NA,119
EL4X_130.EL4X_74 wt b1,B1 - 2 - 9,Couple,Contrainte hydrique,1,2,9,droite,74,33,125,4,NA,140
EL4X_395.EL4X_235 wt b1,B1 - 3 - 1,Couple,Contrainte hydrique,1,3,1,gauche,395,56,NA,NA,225,NA
EL4X_395.EL4X_235 wt b1,B1 - 3 - 1,Couple,Contrainte hydrique,1,3,1,droite,235,NA,NA,NA,131,NA
EL4X_482.EL4X_482 wt b1,B1 - 3 - 2,Monoculture,Contrainte hydrique,1,3,2,gauche,482,63,107,4,NA,99
EL4X_482.EL4X_482 wt b1,B1 - 3 - 2,Monoculture,Contrainte hydrique,1,3,2,droite,482,53,123,5,NA,75
EL4X_235.EL4X_235 wt b1,B1 - 3 - 3,Monoculture,Contrainte hydrique,1,3,3,gauche,235,43,NA,NA,159,NA
EL4X_235.EL4X_235 wt b1,B1 - 3 - 3,Monoculture,Contrainte hydrique,1,3,3,droite,235,46,NA,NA,127,NA
EL4X_165.EL4X_165 wt b1,B1 - 3 - 4,Monoculture,Contrainte hydrique,1,3,4,gauche,165,48,156,5,NA,127
EL4X_165.EL4X_165 wt b1,B1 - 3 - 4,Monoculture,Contrainte hydrique,1,3,4,droite,165,46,153,4,NA,85
EL4X_329.EL4X_114 wt b1,B1 - 3 - 5,Couple,Contrainte hydrique,1,3,5,gauche,329,47,NA,NA,129,NA
EL4X_329.EL4X_114 wt b1,B1 - 3 - 5,Couple,Contrainte hydrique,1,3,5,droite,114,40,111,4,NA,110
EL4X_395.EL4X_376 wt b1,B1 - 3 - 6,Couple,Contrainte hydrique,1,3,6,gauche,395,50,NA,NA,109,NA
EL4X_395.EL4X_376 wt b1,B1 - 3 - 6,Couple,Contrainte hydrique,1,3,6,droite,376,48,136,4,NA,92
EL4X_165.EL4X_74 wt b1,B1 - 3 - 7,Couple,Contrainte hydrique,1,3,7,gauche,165,49,95,3,NA,NA
EL4X_165.EL4X_74 wt b1,B1 - 3 - 7,Couple,Contrainte hydrique,1,3,7,droite,74,40,132,4,NA,NA
EL4X_482.EL4X_118 wt b1,B1 - 3 - 8,Couple,Contrainte hydrique,1,3,8,gauche,482,48,131,4,NA,132
EL4X_482.EL4X_118 wt b1,B1 - 3 - 8,Couple,Contrainte hydrique,1,3,8,droite,118,46,100,4,NA,101
EL4X_376.EL4X_235 wt b1,B1 - 3 - 9,Couple,Contrainte hydrique,1,3,9,gauche,376,34,NA,NA,209,NA
EL4X_376.EL4X_235 wt b1,B1 - 3 - 9,Couple,Contrainte hydrique,1,3,9,droite,235,48,NA,NA,133,NA
EL4X_89.EL4X_89 wt b1,B1 - 4 - 1,Monoculture,Contrainte hydrique,1,4,1,gauche,89,44,130,4,112,92
EL4X_89.EL4X_89 wt b1,B1 - 4 - 1,Monoculture,Contrainte hydrique,1,4,1,droite,89,47,NA,NA,NA,NA
EL4X_74.EL4X_74 wt b1,B1 - 4 - 2,Monoculture,Contrainte hydrique,1,4,2,gauche,74,46,134,4,NA,121
EL4X_74.EL4X_74 wt b1,B1 - 4 - 2,Monoculture,Contrainte hydrique,1,4,2,droite,74,50,145,4,NA,149
EL4X_114.EL4X_235 wt b1,B1 - 4 - 3,Couple,Contrainte hydrique,1,4,3,gauche,114,41,NA,NA,185,NA
EL4X_114.EL4X_235 wt b1,B1 - 4 - 3,Couple,Contrainte hydrique,1,4,3,droite,235,45,NA,NA,NA,NA
EL4X_89.EL4X_482 wt b1,B1 - 4 - 4,Couple,Contrainte hydrique,1,4,4,gauche,89,45,NA,NA,160,NA
EL4X_89.EL4X_482 wt b1,B1 - 4 - 4,Couple,Contrainte hydrique,1,4,4,droite,482,53,121,4,NA,104
EL4X_329.EL4X_376 wt b1,B1 - 4 - 5,Couple,Contrainte hydrique,1,4,5,gauche,329,51,156,5,NA,175
EL4X_329.EL4X_376 wt b1,B1 - 4 - 5,Couple,Contrainte hydrique,1,4,5,droite,376,50,123,5,NA,122
EL4X_130.EL4X_130 wt b1,B1 - 4 - 6,Monoculture,Contrainte hydrique,1,4,6,gauche,130,47,143,4,NA,128
EL4X_130.EL4X_130 wt b1,B1 - 4 - 6,Monoculture,Contrainte hydrique,1,4,6,droite,130,48,NA,NA,171,NA
EL4X_165.EL4X_130 wt b1,B1 - 4 - 7,Couple,Contrainte hydrique,1,4,7,gauche,165,42,161,4,NA,88
EL4X_165.EL4X_130 wt b1,B1 - 4 - 7,Couple,Contrainte hydrique,1,4,7,droite,130,38,NA,NA,214,NA
EL4X_412.EL4X_74 wt b1,B1 - 4 - 8,Couple,Contrainte hydrique,1,4,8,gauche,412,54,NA,NA,182,NA
EL4X_412.EL4X_74 wt b1,B1 - 4 - 8,Couple,Contrainte hydrique,1,4,8,droite,74,42,179,4,NA,99
EL4X_329.EL4X_235 wt b1,B1 - 4 - 9,Couple,Contrainte hydrique,1,4,9,gauche,329,47,NA,NA,147,NA
EL4X_329.EL4X_235 wt b1,B1 - 4 - 9,Couple,Contrainte hydrique,1,4,9,droite,235,39,81,4,NA,87
EL4X_395.EL4X_114 wt b1,B1 - 5 - 1,Couple,Contrainte hydrique,1,5,1,gauche,395,52,NA,NA,126,NA
EL4X_395.EL4X_114 wt b1,B1 - 5 - 1,Couple,Contrainte hydrique,1,5,1,droite,114,47,NA,NA,120,NA
EL4X_130.EL4X_131 wt b1,B1 - 5 - 2,Couple,Contrainte hydrique,1,5,2,gauche,130,22,NA,NA,180,NA
EL4X_130.EL4X_131 wt b1,B1 - 5 - 2,Couple,Contrainte hydrique,1,5,2,droite,131,54,NA,NA,224,NA
EL4X_376.EL4X_376 wt b1,B1 - 5 - 3,Monoculture,Contrainte hydrique,1,5,3,gauche,376,62,175,4,NA,114
EL4X_376.EL4X_376 wt b1,B1 - 5 - 3,Monoculture,Contrainte hydrique,1,5,3,droite,376,42,161,4,NA,79
EL4X_165.EL4X_412 wt b1,B1 - 5 - 4,Couple,Contrainte hydrique,1,5,4,gauche,165,42,NA,NA,176,NA
EL4X_165.EL4X_412 wt b1,B1 - 5 - 4,Couple,Contrainte hydrique,1,5,4,droite,412,55,NA,NA,210,NA
EL4X_118.EL4X_118 wt b1,B1 - 5 - 5,Monoculture,Contrainte hydrique,1,5,5,gauche,118,43,NA,NA,162,NA
EL4X_118.EL4X_118 wt b1,B1 - 5 - 5,Monoculture,Contrainte hydrique,1,5,5,droite,118,36,NA,NA,126,NA
EL4X_131.EL4X_131 wt b1,B1 - 5 - 6,Monoculture,Contrainte hydrique,1,5,6,gauche,131,56,NA,NA,201,NA
EL4X_131.EL4X_131 wt b1,B1 - 5 - 6,Monoculture,Contrainte hydrique,1,5,6,droite,131,62,NA,NA,199,NA
EL4X_130.EL4X_412 wt b1,B1 - 5 - 7,Couple,Contrainte hydrique,1,5,7,gauche,130,28,165,3,NA,45
EL4X_130.EL4X_412 wt b1,B1 - 5 - 7,Couple,Contrainte hydrique,1,5,7,droite,412,48,126,5,NA,90
EL4X_348.EL4X_348 wt b1,B1 - 5 - 8,Monoculture,Contrainte hydrique,1,5,8,gauche,348,31,151,5,NA,112
